"btn","btn 2","btn 3","btn 4","btn 5","btn 6","btn 7","btn 8","btn 9","btn 10","btn 11","btn 12","btn 13","btn 14","btn 15","btn 16","btn 17","btn 18","btn 19","btn 20","btn 21","btn 22","btn 23","btn 24","btn 25","btn 26","btn 27","btn 28","btn 29","btn 30","btn 31"
"Pneumonia","Follow-up appointments","Primary medical practitioner","Pulmonologist","Referrals and consults","Home care for patients with ongoing skilled needs","Consider palliative care or end of life support for advanced conditions contributing to pneumonia","Smoking cessation counseling","Breathing exercises (e.g., incentive spirometry, rhythmic inhalation and coughing)","Patient Education","Drinking liquids to stay hydrated to promote coughing up mucus (unless told to limit fluids)","Influenza, pneumococcal, pertussis and COVID-19 vaccinations","Recognizing factors or conditions that increase risk for pneumonia or worsen symptoms (e.g., smoking and air pollution, upper respiratory infections, prolonged immobility, malnutrition, poor handwashing, etc) and","Following instructions for oxygen therapy, if appropriate for chronic respiratory failure","Medication adherence","Smoking cessation, if indicated","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","Discharge medications","Use of a cool mist humidifier to increase air moisture","When to call medical practitioner for new or worsening symptoms (e.g., shortness of breath, chest pain when you take a breath, wheezing, coughing up mucus that is thick or blood-stained, fever higher than 101.5 F (38.6 C))","Analgesic","Anti-infective, anti-viral, or anti-fungal","Inhaled glucocorticosteroids","Mucolytic Agents","Oral glucocorticosteroids","","","","","",""
"Pyelonephritis or complex","Follow-up appointments","Primary medical practitioner","Urologist","Referrals and consults","Home care for ongoing skilled needs","Smoking cessation counseling","Influenza, pneumococcal, pertussis and COVID-19 vaccinations","Knowledge of factors or conditions that increase risk for infection and worsen symptoms (e.g., prolonged immobility, malnutrition, etc.)","Patient Education","Limiting alcohol intake and drinking enough fluids to keep urine light yellow in color (unless told to limit fluids)","Medication adherence and completing full antibiotic course","Preventing future infection (keeping genital area clean, proper wiping of genital, urinating frequently, practicing safe sex)","Proper care of indwelling catheters, if applicable (including clean procedures and when to replace)","Smoking cessation, if indicated","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","When to call health care medical practitioner for new or worsening symptoms (fever, shaking chills, vomiting, urinating very little or not at all, blood in your urine, dark-colored or foul-smelling urine, side or back pain that gets worse)","Discharge medications","Analgesic","Anti-infective","","","","","","","","","","",""
"Respiratory failure","Follow-up appointments","Primary medical practitioner","Pulmonologist","Referrals and consults","Enroll patient in call back program, if available","Palliative care or end of life support for advanced lung disease","Refer patient to a medical home, disease management program, or case management program, if appropriate and available","Nutritional counseling or supplementation, if severely overweight or malnourished","Patient Education","Smoking cessation counseling","Avoidance of air pollutants, including a smoking cessation program, if indicated","Breathing exercises to manage shortness of breath (e.g., pursed-lip breathing)","Following instructions for oxygen therapy, if appropriate for chronic respiratory failure","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Recognizing signs of depression or anxiety and seeking emotional support from medical practitioner and community resources (e.g., Better Breathing Support Groups)","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","Discharge medications","When to call medical practitioner for new or worsening symptoms (e.g., increased swelling in legs, feet or abdomen, wheezing, coughing up blood in sputum, fever)","When to seek emergency care (e.g., difficulty breathing, shortness of breath, chest pain)","Anticholinergics","Beta-Agonists","Inhaled glucocorticosteroids","Mucolytic Agents","Oral glucocorticosteroids (prednisone methylprednisone)","Phosphodiesterase -4 Inhibitors","","","","",""
"Sepsis","Follow-up appointments","Primary medical practitioner","Infectious disease specialist","Referrals and consults","Wound care specialist","Home care for ongoing skilled needs","Consider palliative care or end of life support for advanced conditions contributing to sepsis","Smoking cessation counseling","Patient Education","Influenza, pneumococcal, pertussis and COVID-19 vaccinations","Knowledge of factors or conditions that increase risk for infection and worsen symptoms (e.g., prolonged immobility, malnutrition)","Limiting alcohol intake and drinking enough fluids to keep urine light yellow in color, unless told to limit fluids","Medication adherence","Proper wound care, if wound present or post surgery (e.g., keeping wound clean, dressing wound and washing of hands when changing dressings, etc.)","Smoking cessation, if indicated","Staying physically active with exercise as instructed by medical practitioner","Discharge medications","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","Understanding Post Sepsis Syndrome and long-term effects of sepsis (e.g., insomnia, extreme fatigue, poor concentration, decreased mental or cognitive functioning, loss of self-esteem, nightmares, vivid hallucinations, panic attacks, disabling muscle and joint pain)","When to call medical practitioner for new or worsening symptoms (chills, sweats, nausea or vomiting, fever higher than 101.5 F (38.6 C), body aches, fast heartbeat, dizziness when you stand up or fainting, confusion, redness, swelling, or drainage of pus from any wounds or from around area where an IV goes into skin)","Analgesic","Anti-infective, anti-viral, or anti-fungal","","","","","","","",""
"Stroke","Follow-up appointments","Primary medical practitioner","Neurologist","Referrals and consults","Home or community-based rehabilitation or inpatient rehabilitation program","Palliative care or end of life support for advanced disease","Smoking cessation counseling","Achieving and maintaining a healthy weight","Patient Education","Elimination or reduction of alcohol intake","Influenza, pneumococcal, pertussis, and COVID-19 vaccinations","Recognizing depression is common after stroke and seeking emotional support","Smoking cessation and avoiding passive smoke","Staying physically active as advised by medical practitioner","Strict medication adherence","Taking care of health (e.g., getting at least 7h or more per day of sleep, eating a healthy diet, learning ways to manage stress and staying physically active as advised by medical practitioner)","Discharge medications","Understanding risk of having another stroke and any necessary life-style modification(s) (e.g., maintaining a healthy weight and blood pressure, quitting smoking, and for ischemic stroke healthy eating to control blood sugar and cholesterol level)","Understanding risk of falling and changes necessary to maintain a safe living environment if indicated","Understanding common problems associated with stroke (e.g., changes in behavior, difficulty doing tasks, memory, moving and doing ADLs, muscle spasms, swallowing, lack of sensation or awareness of one part of the body, thinking, talking, etc.) and any planned therapy services (e.g., physical, occupational or speech therapy)","When to call medical practitioner for new or worsening symptoms (e.g., loss of balance or coordination, personality changes, dizziness or lightheadedness, headache that will not go away after treatment, confusion, forgetfulness)","When to seek emergency care (e.g., weakness, numbness, drooping, or tingling of face, trouble seeing, severe headache, seizure, trouble thinking, trouble swallowing, trouble talking or understanding speech, feeling dizzy, weakness, numbness or tingling in arm or leg, trouble walking or moving arm or leg, loss of bladder or bowel control)","Anticoagulant","Antihypertensive","Antiplatelet agent","","","","",""
"Functional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cognitive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Visual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hearing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Speech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clarify any questions about medical care and follow-up","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Refer patient to a medical home, disease management program, or case management program, if appropriate and available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Enroll patient in call back program, if available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Identify any pending in-hospital tests or studies and determine who will follow-up with them","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Educate patient or caregiver about relevant diagnoses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Review contact information for medical practitioner, specialty care, services, and outpatient testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Provide a written list of scheduled appointments and tests","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Assess understanding of plan by asking patient to explain it in his or her own words (may require discussion with caregiver)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Review of over-the-counter (OTC) medications, supplements, and herbal remedies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Assess for potential drug interactions or drug allergies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Assess the risks and benefits of opiate therapy for acute/chronic pain management, following recommendations for initiation, continuation, and follow-up management of opioid therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ensure prescriptions are provided or e-prescriptions sent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ensure patient or caregiver verbalizes understanding of regimen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"What constitutes an emergency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"What to do in the case of an emergency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"When to contact medical practitioner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Who to call on weekends or evenings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transmit to agency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transmit to medical practitioner prior to the first follow-up visit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comorbidity prevents management of care (e.g., blindness, paralysis)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transmit to facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transmit to medical practitioner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Including aspiration pneumonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sepsis patients coded with pneumonia present on admission (excluding severe sepsis)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
